Country,Prevalence2008,Prevalence2013,Prevalence2020,Incidence2008,Incidence2013,Incidence2020,MeanAgeofOnset2008,MeanAgeofOnset2013,MeanAgeofOnset2020,
Turkey,34,55,70,-1,-1,-1,27.6,28,29,
Turkmenistan,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Turks and Caicos Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Tuvalu,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Uganda,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Ukraine,48.4,-1,47.61,3,-1,3.7,28.5,-1,-1,
United Arab Emirates,26,55,18,5,7,-1,19,26.6,28,
United Kingdom,110,164,199,6,4,10,32.5,32,33,
United States of America,135,135,288.03,4,3.2,7.855077835,32.5,33,36,
Uruguay,22,26,20.9,-1,2.5,2.89,22,30,37,
Uzbekistan,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Vanuatu,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Venezuela,-1,6.9,7.32,-1,-1,-1,-1,34,-1,
Vietnam,-1,-1,-1,-1,-1,-1,38,-1,-1,
Virgin Islands,-1,-1,-1,-1,-1,-1,-1,-1,-1,
Yemen,-1,-1,1.4,-1,-1,-1,25,-1,35,
Zambia,-1,0.083,0.14,-1,-1,0.069157457,24,26,35,
Zimbabwe,-1,0.078,-1,-1,-1,-1,-1,35,-1,
Greenland,-1,-1,-1,-1,-1,-1,-1,-1,-1,
